FIPS_Code	State_Abbrv	Rate
17165	IL	159
17167	IL	159
17169	IL	165
17171	IL	159
17173	IL	159
17175	IL	165
17177	IL	166
17179	IL	165
17181	IL	159
17183	IL	174
17185	IL	174
17187	IL	158
17189	IL	159
17191	IL	159
17193	IL	174
17195	IL	158
17197	IL	206
17199	IL	159
17201	IL	166
17203	IL	165
18001	IN	167
18003	IN	167
18005	IN	174
18007	IN	173
18009	IN	167
18011	IN	174
18013	IN	174
18015	IN	173
18017	IN	173
18019	IN	174
18021	IN	174
18023	IN	173
18025	IN	167
18027	IN	167
18029	IN	174
18031	IN	174
18033	IN	167
18035	IN	174
18037	IN	167
18039	IN	177
18041	IN	174
18043	IN	167
18045	IN	173
18047	IN	174
18049	IN	177
18051	IN	167
18053	IN	167
18055	IN	174
18057	IN	174
18059	IN	174
18061	IN	167
18063	IN	174
18065	IN	174
18067	IN	173
18069	IN	167
18071	IN	174
18073	IN	206
18075	IN	167
18077	IN	174
18079	IN	174
18081	IN	174
18083	IN	167
18085	IN	177
18087	IN	167
18089	IN	206
18091	IN	177
18093	IN	174
18095	IN	174
18097	IN	174
18099	IN	177
18101	IN	167
18103	IN	173
18105	IN	174
18107	IN	173
18109	IN	174
18111	IN	206
18113	IN	167
18115	IN	174
18117	IN	167
18119	IN	174
18121	IN	173
18123	IN	167
18125	IN	167
18127	IN	206
18129	IN	167
18131	IN	177
18133	IN	174
18135	IN	167
18137	IN	174
18139	IN	174
18141	IN	177
18143	IN	174
18145	IN	174
18147	IN	167
18149	IN	177
18151	IN	167
18153	IN	167
18155	IN	174
18157	IN	173
18159	IN	174
18161	IN	174
18163	IN	167
18165	IN	173
18167	IN	174
18169	IN	167
18171	IN	173
18173	IN	167
18175	IN	174
18177	IN	174
18179	IN	167
18181	IN	173
18183	IN	167
19001	IA	189
19003	IA	189
19005	IA	167
19007	IA	189
19009	IA	189
19011	IA	167
19013	IA	167
19015	IA	189
19017	IA	167
19019	IA	167
19021	IA	189
19023	IA	167
19025	IA	189
19027	IA	189
19029	IA	189
19031	IA	158
19033	IA	189
19035	IA	189
19037	IA	167
19039	IA	189
19041	IA	189
19043	IA	167
19045	IA	158
19047	IA	189
19049	IA	189
19051	IA	189
19053	IA	189
19055	IA	167
19057	IA	158
19059	IA	189
19061	IA	167
19063	IA	189
19065	IA	167
19067	IA	167
19069	IA	189
19071	IA	189
19073	IA	189
19075	IA	167
19077	IA	189
19079	IA	189
19081	IA	189
19083	IA	189
19085	IA	189
19087	IA	158
19089	IA	167
19091	IA	189
19093	IA	189
19095	IA	167
19097	IA	158
19099	IA	189
19101	IA	167
19103	IA	167
19105	IA	167
19107	IA	167
19109	IA	189
19111	IA	158
19113	IA	167
19115	IA	158
19117	IA	189
19119	IA	189
19121	IA	189
19123	IA	189
19125	IA	189
19127	IA	189
19129	IA	189
19131	IA	167
19133	IA	189
19135	IA	189
19137	IA	189
19139	IA	158
19141	IA	189
19143	IA	189
19145	IA	189
19147	IA	189
19149	IA	189
19151	IA	189
19153	IA	189
19155	IA	189
19157	IA	189
19159	IA	189
19161	IA	189
19163	IA	158
19165	IA	189
19167	IA	189
19169	IA	189
19171	IA	167
19173	IA	189
19175	IA	189
19177	IA	158
19179	IA	189
19181	IA	189
19183	IA	167
19185	IA	189
19187	IA	189
19189	IA	189
19191	IA	167
19193	IA	189
19195	IA	189
19197	IA	189
20001	KS	181
20003	KS	181
20005	KS	175
20007	KS	161
20009	KS	161
20011	KS	175
20013	KS	181
20015	KS	161
20017	KS	161
20019	KS	161
20021	KS	175
20023	KS	161
20025	KS	161
20027	KS	181
20029	KS	181
20031	KS	181
20033	KS	161
20035	KS	161
20037	KS	175
20039	KS	161
20041	KS	181
20043	KS	175
20045	KS	181
20047	KS	161
20049	KS	161
20051	KS	161
20053	KS	161
20055	KS	161
20057	KS	161
20059	KS	181
20061	KS	181
20063	KS	161
20065	KS	161
20067	KS	161
20069	KS	161
20071	KS	161
20073	KS	161
20075	KS	161
20077	KS	161
20079	KS	161
20081	KS	161
20083	KS	161
20085	KS	181
20087	KS	181
20089	KS	181
20091	KS	175
20093	KS	161
20095	KS	161
20097	KS	161
20099	KS	161
20101	KS	161
20103	KS	175
20105	KS	161
20107	KS	175
20109	KS	161
20111	KS	181
20113	KS	161
20115	KS	161
20117	KS	181
20119	KS	161
20121	KS	175
20123	KS	161
20125	KS	161
20127	KS	181
20129	KS	161
20131	KS	181
20133	KS	181
20135	KS	161
20137	KS	161
20139	KS	181
20141	KS	161
20143	KS	161
20145	KS	161
20147	KS	161
20149	KS	181
20151	KS	161
20153	KS	161
20155	KS	161
20157	KS	181
20159	KS	161
20161	KS	181
20163	KS	161
20165	KS	161
20167	KS	161
20169	KS	161
20171	KS	161
20173	KS	161
